run_name,metric_type,step,value
2026-03-17_NaiveBaseline,train_loss,5050,2.023200
2026-03-17_NaiveBaseline,train_loss,5100,2.199500
2026-03-17_NaiveBaseline,train_loss,5150,2.070900
2026-03-17_NaiveBaseline,train_loss,5200,2.097200
2026-03-17_NaiveBaseline,train_loss,5250,2.139500
2026-03-17_NaiveBaseline,train_loss,5300,2.094700
2026-03-17_NaiveBaseline,train_loss,5350,2.081900
2026-03-17_NaiveBaseline,train_loss,5400,2.209900
2026-03-17_NaiveBaseline,train_loss,5450,2.131400
2026-03-17_NaiveBaseline,train_loss,5500,2.205700
2026-03-17_NaiveBaseline,train_loss,5550,2.085600
2026-03-17_NaiveBaseline,train_loss,5600,2.144800
2026-03-17_NaiveBaseline,train_loss,5650,2.031200
2026-03-17_NaiveBaseline,train_loss,5700,2.139200
2026-03-17_NaiveBaseline,train_loss,5750,2.020600
2026-03-17_NaiveBaseline,train_loss,5800,2.210700
2026-03-17_NaiveBaseline,train_loss,5850,2.097300
2026-03-17_NaiveBaseline,train_loss,5900,2.127000
2026-03-17_NaiveBaseline,train_loss,5950,2.089900
2026-03-17_NaiveBaseline,train_loss,6000,2.218200
2026-03-17_NaiveBaseline,train_loss,6050,2.123000
2026-03-17_NaiveBaseline,train_loss,6100,2.164000
2026-03-17_NaiveBaseline,train_loss,6150,2.196000
2026-03-17_NaiveBaseline,train_loss,6200,2.121700
2026-03-17_NaiveBaseline,train_loss,6250,2.110600
2026-03-17_NaiveBaseline,train_loss,6300,2.198900
2026-03-17_NaiveBaseline,train_loss,6350,2.173800
2026-03-17_NaiveBaseline,train_loss,6400,2.133300
2026-03-17_NaiveBaseline,train_loss,6450,1.969600
2026-03-17_NaiveBaseline,train_loss,6500,2.127900
2026-03-17_NaiveBaseline,train_loss,6550,2.276800
2026-03-17_NaiveBaseline,train_loss,6600,2.106000
2026-03-17_NaiveBaseline,train_loss,6650,2.103600
2026-03-17_NaiveBaseline,train_loss,6700,2.143800
2026-03-17_NaiveBaseline,train_loss,6750,1.893800
2026-03-17_NaiveBaseline,train_loss,6800,2.180900
2026-03-17_NaiveBaseline,train_loss,6850,2.097800
2026-03-17_NaiveBaseline,train_loss,6900,2.114600
2026-03-17_NaiveBaseline,train_loss,6950,2.132800
2026-03-17_NaiveBaseline,train_loss,7000,2.153700
2026-03-17_NaiveBaseline,train_loss,7050,2.138200
2026-03-17_NaiveBaseline,train_loss,7100,2.107800
2026-03-17_NaiveBaseline,train_loss,7150,2.195200
2026-03-17_NaiveBaseline,train_loss,7200,2.114300
2026-03-17_NaiveBaseline,train_loss,7250,2.100900
2026-03-17_NaiveBaseline,train_loss,7300,2.152900
2026-03-17_NaiveBaseline,train_loss,7350,2.153200
2026-03-17_NaiveBaseline,train_loss,7400,2.113700
2026-03-17_NaiveBaseline,train_loss,7450,2.406700
2026-03-17_NaiveBaseline,train_loss,7500,2.075100
2026-03-17_NaiveBaseline,train_loss,7550,2.125800
2026-03-17_NaiveBaseline,train_loss,7600,2.172300
2026-03-17_NaiveBaseline,train_loss,7650,2.219300
2026-03-17_NaiveBaseline,train_loss,7700,2.132900
2026-03-17_NaiveBaseline,train_loss,7750,2.056200
2026-03-17_NaiveBaseline,train_loss,7800,2.166900
2026-03-17_NaiveBaseline,train_loss,7850,2.099400
2026-03-17_NaiveBaseline,train_loss,7900,2.158500
2026-03-17_NaiveBaseline,train_loss,7950,2.131900
2026-03-17_NaiveBaseline,train_loss,8000,2.261300
2026-03-17_NaiveBaseline,train_loss,8050,2.177500
2026-03-17_NaiveBaseline,train_loss,8100,1.958700
